mggid	ship	cruise	sample	device_code	device	subcore	interval	replicate	lower_phi_limit	upper_phi_limit	weight_percent
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	13	1	0	1	1.4	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	13	1	1	2	1.4	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	13	1	2	3	3.8	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	13	1	3	4	10.4	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	13	1	4	5	17	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	13	1	5	6	20.8	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	13	1	6	7	11.8	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	13	1	7	8	9	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	13	1	8	9	4.7	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	13	1	9	10	4.7	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	13	1	10	99	9.4	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	14	1	-2	-1	.8	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	14	1	-1	0	1.4	
09005023	Unknown Platform	L.I.1008	1	501	core, piston, kullenberg	0	14	1	0	1	1.8	
