"","region","latstep","sizestep","repnum","latrng","size","meanturnIndiv","netwrkturn"
"1895","DFO_ScotianShelf",0.292857142857143,0.15,4,0.269230769230769,0.151515151515152,0.699171498238414,0.941857424411466
"1896","DFO_SoGulf",0.292857142857143,0.15,4,0.285714285714286,0.150537634408602,0.6161699310719,0.699817470252324
"1897","NEFSC_NEUSSpring",0.292857142857143,0.15,4,0.27906976744186,0.15036231884058,0.76806513682232,0.891310713277838
"1898","NWFSC_WCAnn",0.292857142857143,0.15,4,0.285714285714286,0.152838427947598,0.698898068707088,0.852122847668057
"1899","SEFSC_GOMex",0.292857142857143,0.15,4,0.277777777777778,0.151020408163265,0.804893426250932,0.902323028154397
"1900","AFSC_Aleutians",0.434285714285714,0.15,4,0.384615384615385,0.151515151515152,0.445734915145191,0.684633775746158
"1901","AFSC_EBS",0.434285714285714,0.15,4,0.433333333333333,0.150664697193501,0.450435094192144,0.860317476370997
"1902","AFSC_GOA",0.434285714285714,0.15,4,0.40625,0.151133501259446,0.646239039161129,0.84500747422435
"1903","DFO_NewfoundlandFall",0.434285714285714,0.15,4,0.426666666666667,0.150521609538003,0.762306584856306,0.929990173088723
"1904","DFO_ScotianShelf",0.434285714285714,0.15,4,0.423076923076923,0.151515151515152,0.702223797482328,0.922234699115442
"1905","DFO_SoGulf",0.434285714285714,0.15,4,0.428571428571429,0.150537634408602,0.632716075974186,0.735206099329178
"1906","NEFSC_NEUSSpring",0.434285714285714,0.15,4,0.418604651162791,0.15036231884058,0.749286963593592,0.899006868634904
"1907","NWFSC_WCAnn",0.434285714285714,0.15,4,0.428571428571429,0.152838427947598,0.701304283700735,0.846445810761274
"1908","SEFSC_GOMex",0.434285714285714,0.15,4,0.388888888888889,0.151020408163265,0.813773591198472,0.932085683807486
"1909","AFSC_Aleutians",0.575714285714286,0.15,4,0.538461538461538,0.151515151515152,0.459092116243552,0.761702615780813
"1910","AFSC_EBS",0.575714285714286,0.15,4,0.566666666666667,0.150664697193501,0.436839770532196,0.83388806444153
"1911","AFSC_GOA",0.575714285714286,0.15,4,0.5625,0.151133501259446,0.554046150127774,0.816363430660174
"1912","DFO_NewfoundlandFall",0.575714285714286,0.15,4,0.573333333333333,0.150521609538003,0.777945530946717,0.916823249073556
"1913","DFO_ScotianShelf",0.575714285714286,0.15,4,0.538461538461538,0.151515151515152,0.673263346189167,0.937226472877271
"1914","DFO_SoGulf",0.575714285714286,0.15,4,0.571428571428571,0.150537634408602,0.622743140264365,0.643396608781032
"1915","NEFSC_NEUSSpring",0.575714285714286,0.15,4,0.558139534883721,0.15036231884058,0.78336133203019,0.893731802999841
"1916","NWFSC_WCAnn",0.575714285714286,0.15,4,0.571428571428571,0.152838427947598,0.676493746486637,0.837664927579911
"1917","SEFSC_GOMex",0.575714285714286,0.15,4,0.555555555555556,0.151020408163265,0.818163952468433,0.912213896884432
"1918","AFSC_Aleutians",0.717142857142857,0.15,4,0.692307692307692,0.151515151515152,0.457681241376956,0.742015821419346
"1919","AFSC_EBS",0.717142857142857,0.15,4,0.7,0.150664697193501,0.447128884834325,0.864060841099024
"1920","AFSC_GOA",0.717142857142857,0.15,4,0.6875,0.151133501259446,0.586670952291125,0.770693851303613
"1921","DFO_NewfoundlandFall",0.717142857142857,0.15,4,0.706666666666667,0.150521609538003,0.777472412050119,0.909779550047619
"1922","DFO_ScotianShelf",0.717142857142857,0.15,4,0.692307692307692,0.151515151515152,0.690223895683762,0.948524276055245
"1923","DFO_SoGulf",0.717142857142857,0.15,4,0.714285714285714,0.150537634408602,0.511417637584239,0.753596071557896
"1924","NEFSC_NEUSSpring",0.717142857142857,0.15,4,0.697674418604651,0.15036231884058,0.743452331559382,0.898852570774218
"1925","NWFSC_WCAnn",0.717142857142857,0.15,4,0.682539682539683,0.152838427947598,0.715345310463724,0.905335636714131
"1926","SEFSC_GOMex",0.717142857142857,0.15,4,0.611111111111111,0.151020408163265,0.782143521283506,0.927685881836544
"1927","AFSC_Aleutians",0.858571428571429,0.15,4,0.692307692307692,0.151515151515152,0.44925824875147,0.72488533947821
"1928","AFSC_EBS",0.858571428571429,0.15,4,0.833333333333333,0.150664697193501,0.43380224163135,0.819330183030268
"1929","AFSC_GOA",0.858571428571429,0.15,4,0.84375,0.151133501259446,0.594758144251028,0.804794188295757
"1930","DFO_NewfoundlandFall",0.858571428571429,0.15,4,0.853333333333333,0.150521609538003,0.779007866694026,0.905766589482915
"1931","DFO_ScotianShelf",0.858571428571429,0.15,4,0.846153846153846,0.151515151515152,0.660915990920669,0.934274152549615
"1932","DFO_SoGulf",0.858571428571429,0.15,4,0.857142857142857,0.150537634408602,0.557517323678117,0.734570153407715
"1933","NEFSC_NEUSSpring",0.858571428571429,0.15,4,0.837209302325581,0.15036231884058,0.789034581591509,0.94863982023989
"1934","NWFSC_WCAnn",0.858571428571429,0.15,4,0.841269841269841,0.152838427947598,0.689637002557565,0.893701426491064
"1935","SEFSC_GOMex",0.858571428571429,0.15,4,0.833333333333333,0.151020408163265,0.819150741297913,0.909384382643556
"1936","AFSC_Aleutians",1,0.15,4,0.846153846153846,0.151515151515152,0.461264331848726,0.799842286140283
"1937","AFSC_EBS",1,0.15,4,1,0.150664697193501,0.446034814010021,0.879868357607079
"1938","AFSC_GOA",1,0.15,4,0.96875,0.151133501259446,0.557316716444289,0.83466992339806
"1939","DFO_NewfoundlandFall",1,0.15,4,0.986666666666667,0.150521609538003,0.77171492048008,0.980270359746609
"1940","DFO_ScotianShelf",1,0.15,4,0.846153846153846,0.151515151515152,0.677951235785508,0.967439542406715
"1941","DFO_SoGulf",1,0.15,4,0.928571428571429,0.150537634408602,0.561824504427667,0.765193467752091
"1942","NEFSC_NEUSSpring",1,0.15,4,0.953488372093023,0.15036231884058,0.756236302906183,0.88289408339423
"1943","NWFSC_WCAnn",1,0.15,4,0.984126984126984,0.152838427947598,0.709316149387324,0.900781001872555
"1944","SEFSC_GOMex",1,0.15,4,0.888888888888889,0.151020408163265,0.811252490061197,0.914067427077106
"1945","AFSC_Aleutians",0.01,0.22,4,0.153846153846154,0.220779220779221,0.452316642407803,0.733544695285177
"1946","AFSC_EBS",0.01,0.22,4,0.2,0.112259970457903,0.47526363582291,0.784458707189546
"1947","AFSC_GOA",0.01,0.22,4,0.125,0.0654911838790932,0.454286166759241,0.691463640488614
"1948","DFO_NewfoundlandFall",0.01,0.22,4,0.12,0.029806259314456,0.735410312073755,0.836261586325589
"1949","DFO_ScotianShelf",0.01,0.22,4,0.346153846153846,0.151515151515152,0.719745938168854,0.928917193062806
"1950","DFO_SoGulf",0.01,0.22,4,0.571428571428571,0.188172043010753,0.532575743378913,0.712154649292923
"1951","NEFSC_NEUSSpring",0.01,0.22,4,0.162790697674419,0.0978260869565217,0.781460040098908,0.874398841129895
"1952","NWFSC_WCAnn",0.01,0.22,4,0.0476190476190476,0.0480349344978166,0.773693437528841,0.888369381982022
"1953","SEFSC_GOMex",0.01,0.22,4,0.166666666666667,0.138775510204082,0.839115694700614,0.938870217711199
"1954","AFSC_Aleutians",0.151428571428571,0.22,4,0.0769230769230769,0.220779220779221,0.457286915549431,0.616895900096961
"1955","AFSC_EBS",0.151428571428571,0.22,4,0.4,0.220088626292467,0.410167232259487,0.802768051843564
"1956","AFSC_GOA",0.151428571428571,0.22,4,0.25,0.110831234256927,0.451228134296511,0.736640429914669
"1957","DFO_NewfoundlandFall",0.151428571428571,0.22,4,0.666666666666667,0.220566318926975,0.782677329684766,0.925627539663011
"1958","DFO_ScotianShelf",0.151428571428571,0.22,4,0.115384615384615,0.222222222222222,0.669867075241629,0.938554307965898
"1959","DFO_SoGulf",0.151428571428571,0.22,4,0.142857142857143,0.220430107526882,0.585489635961836,0.659886462008187
"1960","NEFSC_NEUSSpring",0.151428571428571,0.22,4,0.13953488372093,0.052536231884058,0.850257378855566,0.970060568281244
"1961","NWFSC_WCAnn",0.151428571428571,0.22,4,0.238095238095238,0.222707423580786,0.692762519058617,0.854077559926185
"1962","SEFSC_GOMex",0.151428571428571,0.22,4,0.111111111111111,0.220408163265306,0.816747048021041,0.911771147783389
"1963","AFSC_Aleutians",0.292857142857143,0.22,4,0.230769230769231,0.220779220779221,0.469433474544315,0.821981562101951
"1964","AFSC_EBS",0.292857142857143,0.22,4,0.6,0.220088626292467,0.373855991569584,0.763873518327998
"1965","AFSC_GOA",0.292857142857143,0.22,4,0.28125,0.220403022670025,0.64869883430171,0.916730685989112
"1966","DFO_NewfoundlandFall",0.292857142857143,0.22,4,0.28,0.220566318926975,0.751601919660882,0.982229693473382
"1967","DFO_ScotianShelf",0.292857142857143,0.22,4,0.269230769230769,0.222222222222222,0.703585673486029,0.947462654497851
"1968","DFO_SoGulf",0.292857142857143,0.22,4,0.285714285714286,0.220430107526882,0.601894676606041,0.694554231978806
"1969","NEFSC_NEUSSpring",0.292857142857143,0.22,4,0.27906976744186,0.221014492753623,0.754742705749735,0.900235589512943
"1970","NWFSC_WCAnn",0.292857142857143,0.22,4,0.285714285714286,0.222707423580786,0.708343128454554,0.92688524951216
"1971","SEFSC_GOMex",0.292857142857143,0.22,4,0.277777777777778,0.220408163265306,0.78883196097804,0.923653928020871
"1972","AFSC_Aleutians",0.434285714285714,0.22,4,0.384615384615385,0.220779220779221,0.460019238317746,0.825482463954396
"1973","AFSC_EBS",0.434285714285714,0.22,4,0.433333333333333,0.220088626292467,0.445042888910326,0.868902273398597
"1974","AFSC_GOA",0.434285714285714,0.22,4,0.40625,0.220403022670025,0.646634212554106,0.820473959830195
"1975","DFO_NewfoundlandFall",0.434285714285714,0.22,4,0.426666666666667,0.220566318926975,0.765592640825858,0.910687533547869
"1976","DFO_ScotianShelf",0.434285714285714,0.22,4,0.423076923076923,0.222222222222222,0.711983851481835,0.943290137184346
"1977","DFO_SoGulf",0.434285714285714,0.22,4,0.428571428571429,0.220430107526882,0.620719739867294,0.706796559004574
"1978","NEFSC_NEUSSpring",0.434285714285714,0.22,4,0.418604651162791,0.221014492753623,0.743073186787641,0.906196133379595
"1979","NWFSC_WCAnn",0.434285714285714,0.22,4,0.428571428571429,0.222707423580786,0.698773628173905,0.847042352995566
"1980","SEFSC_GOMex",0.434285714285714,0.22,4,0.388888888888889,0.220408163265306,0.829574709389902,0.929200650099433
"1981","AFSC_Aleutians",0.575714285714286,0.22,4,0.538461538461538,0.220779220779221,0.448267929408476,0.752837136401742
"1982","AFSC_EBS",0.575714285714286,0.22,4,0.566666666666667,0.220088626292467,0.449606392527923,0.853320019721194
"1983","AFSC_GOA",0.575714285714286,0.22,4,0.5625,0.220403022670025,0.606831528227542,0.76660515198047
"1984","DFO_NewfoundlandFall",0.575714285714286,0.22,4,0.573333333333333,0.220566318926975,0.782336901464644,0.912784634745816
"1985","DFO_ScotianShelf",0.575714285714286,0.22,4,0.538461538461538,0.222222222222222,0.698520357790469,0.956060832743698
"1986","DFO_SoGulf",0.575714285714286,0.22,4,0.571428571428571,0.220430107526882,0.527364074776424,0.823756358370954
"1987","NEFSC_NEUSSpring",0.575714285714286,0.22,4,0.558139534883721,0.221014492753623,0.798427696456142,0.848100916061587
"1988","NWFSC_WCAnn",0.575714285714286,0.22,4,0.571428571428571,0.222707423580786,0.672667450907286,0.896515521869811
"1989","SEFSC_GOMex",0.575714285714286,0.22,4,0.555555555555556,0.220408163265306,0.824511789439383,0.910357672490594
"1990","AFSC_Aleutians",0.717142857142857,0.22,4,0.692307692307692,0.220779220779221,0.467963712058475,0.810963232750097
"1991","AFSC_EBS",0.717142857142857,0.22,4,0.7,0.220088626292467,0.460442623221709,0.875938046603737
"1992","AFSC_GOA",0.717142857142857,0.22,4,0.6875,0.220403022670025,0.55450045197009,0.79582226939939
"1993","DFO_NewfoundlandFall",0.717142857142857,0.22,4,0.706666666666667,0.220566318926975,0.766368260725645,0.987579568356351
"1994","DFO_ScotianShelf",0.717142857142857,0.22,4,0.692307692307692,0.222222222222222,0.685425885425694,0.951987859054989
"1995","DFO_SoGulf",0.717142857142857,0.22,4,0.714285714285714,0.220430107526882,0.525010672160871,0.899714987739931
"1996","NEFSC_NEUSSpring",0.717142857142857,0.22,4,0.697674418604651,0.221014492753623,0.765703845230997,0.900216784616897
"1997","NWFSC_WCAnn",0.717142857142857,0.22,4,0.714285714285714,0.222707423580786,0.697370198881543,0.88567729650499
"1998","SEFSC_GOMex",0.717142857142857,0.22,4,0.666666666666667,0.220408163265306,0.816496623666924,0.922425492541672
"1999","AFSC_Aleutians",0.858571428571429,0.22,4,0.769230769230769,0.220779220779221,0.480104660252139,0.796893204923866
"2000","AFSC_EBS",0.858571428571429,0.22,4,0.833333333333333,0.220088626292467,0.444319711816651,0.889985333592322
