"","period","model","rcp","nmet","mid","pmet","region"
"215","2061-2080",4,45,100,2070.5,0.746268656716418,"AFSC_EBS"
"216","2061-2080",4,85,71,2070.5,0.529850746268657,"AFSC_EBS"
"217","2061-2080",5,45,115,2070.5,0.858208955223881,"AFSC_EBS"
"218","2061-2080",5,85,95,2070.5,0.708955223880597,"AFSC_EBS"
"219","2061-2080",6,45,120,2070.5,0.895522388059702,"AFSC_EBS"
"220","2061-2080",6,85,98,2070.5,0.73134328358209,"AFSC_EBS"
"221","2061-2080",7,45,122,2070.5,0.91044776119403,"AFSC_EBS"
"222","2061-2080",7,85,115,2070.5,0.858208955223881,"AFSC_EBS"
"223","2061-2080",8,45,117,2070.5,0.873134328358209,"AFSC_EBS"
"224","2061-2080",8,85,110,2070.5,0.82089552238806,"AFSC_EBS"
"225","2061-2080",9,45,117,2070.5,0.873134328358209,"AFSC_EBS"
"226","2061-2080",9,85,111,2070.5,0.828358208955224,"AFSC_EBS"
"227","2061-2080",10,45,124,2070.5,0.925373134328358,"AFSC_EBS"
"228","2061-2080",10,85,105,2070.5,0.783582089552239,"AFSC_EBS"
"229","2061-2080",11,45,109,2070.5,0.813432835820896,"AFSC_EBS"
"230","2061-2080",11,85,112,2070.5,0.835820895522388,"AFSC_EBS"
"231","2061-2080",12,45,123,2070.5,0.917910447761194,"AFSC_EBS"
"232","2061-2080",12,85,109,2070.5,0.813432835820896,"AFSC_EBS"
"233","2061-2080",13,45,125,2070.5,0.932835820895522,"AFSC_EBS"
"234","2061-2080",13,85,118,2070.5,0.880597014925373,"AFSC_EBS"
"235","2081-2100",1,45,122,2090.5,0.91044776119403,"AFSC_EBS"
"236","2081-2100",1,85,110,2090.5,0.82089552238806,"AFSC_EBS"
"237","2081-2100",2,45,118,2090.5,0.880597014925373,"AFSC_EBS"
"238","2081-2100",2,85,117,2090.5,0.873134328358209,"AFSC_EBS"
"239","2081-2100",3,45,116,2090.5,0.865671641791045,"AFSC_EBS"
"240","2081-2100",3,85,85,2090.5,0.634328358208955,"AFSC_EBS"
"241","2081-2100",4,45,95,2090.5,0.708955223880597,"AFSC_EBS"
"242","2081-2100",4,85,109,2090.5,0.813432835820896,"AFSC_EBS"
"243","2081-2100",5,45,106,2090.5,0.791044776119403,"AFSC_EBS"
"244","2081-2100",5,85,84,2090.5,0.626865671641791,"AFSC_EBS"
"245","2081-2100",6,45,113,2090.5,0.843283582089552,"AFSC_EBS"
"246","2081-2100",6,85,104,2090.5,0.776119402985075,"AFSC_EBS"
"247","2081-2100",7,45,100,2090.5,0.746268656716418,"AFSC_EBS"
"248","2081-2100",7,85,108,2090.5,0.805970149253731,"AFSC_EBS"
"249","2081-2100",8,45,99,2090.5,0.738805970149254,"AFSC_EBS"
"250","2081-2100",8,85,122,2090.5,0.91044776119403,"AFSC_EBS"
"251","2081-2100",9,45,120,2090.5,0.895522388059702,"AFSC_EBS"
"252","2081-2100",9,85,104,2090.5,0.776119402985075,"AFSC_EBS"
"253","2081-2100",10,45,122,2090.5,0.91044776119403,"AFSC_EBS"
"254","2081-2100",10,85,115,2090.5,0.858208955223881,"AFSC_EBS"
"255","2081-2100",11,45,98,2090.5,0.73134328358209,"AFSC_EBS"
"256","2081-2100",11,85,123,2090.5,0.917910447761194,"AFSC_EBS"
"257","2081-2100",12,45,124,2090.5,0.925373134328358,"AFSC_EBS"
"258","2081-2100",12,85,100,2090.5,0.746268656716418,"AFSC_EBS"
"259","2081-2100",13,45,123,2090.5,0.917910447761194,"AFSC_EBS"
"260","2081-2100",13,85,109,2090.5,0.813432835820896,"AFSC_EBS"
"261","2006-2020",1,45,63,2013,0.828947368421053,"DFO_NewfoundlandFall"
"262","2006-2020",1,85,60,2013,0.789473684210526,"DFO_NewfoundlandFall"
"263","2006-2020",2,45,67,2013,0.881578947368421,"DFO_NewfoundlandFall"
"264","2006-2020",2,85,66,2013,0.868421052631579,"DFO_NewfoundlandFall"
"265","2006-2020",3,45,60,2013,0.789473684210526,"DFO_NewfoundlandFall"
"266","2006-2020",3,85,62,2013,0.815789473684211,"DFO_NewfoundlandFall"
"267","2006-2020",4,45,60,2013,0.789473684210526,"DFO_NewfoundlandFall"
"268","2006-2020",4,85,65,2013,0.855263157894737,"DFO_NewfoundlandFall"
"269","2006-2020",5,45,53,2013,0.697368421052632,"DFO_NewfoundlandFall"
"270","2006-2020",5,85,54,2013,0.710526315789474,"DFO_NewfoundlandFall"
"271","2006-2020",6,45,60,2013,0.789473684210526,"DFO_NewfoundlandFall"
"272","2006-2020",6,85,64,2013,0.842105263157895,"DFO_NewfoundlandFall"
"273","2006-2020",7,45,65,2013,0.855263157894737,"DFO_NewfoundlandFall"
"274","2006-2020",7,85,61,2013,0.802631578947368,"DFO_NewfoundlandFall"
"275","2006-2020",8,45,59,2013,0.776315789473684,"DFO_NewfoundlandFall"
"276","2006-2020",8,85,62,2013,0.815789473684211,"DFO_NewfoundlandFall"
"277","2006-2020",9,45,63,2013,0.828947368421053,"DFO_NewfoundlandFall"
"278","2006-2020",9,85,63,2013,0.828947368421053,"DFO_NewfoundlandFall"
"279","2006-2020",10,45,60,2013,0.789473684210526,"DFO_NewfoundlandFall"
"280","2006-2020",10,85,63,2013,0.828947368421053,"DFO_NewfoundlandFall"
"281","2006-2020",11,45,61,2013,0.802631578947368,"DFO_NewfoundlandFall"
"282","2006-2020",11,85,66,2013,0.868421052631579,"DFO_NewfoundlandFall"
"283","2006-2020",12,45,64,2013,0.842105263157895,"DFO_NewfoundlandFall"
"284","2006-2020",12,85,63,2013,0.828947368421053,"DFO_NewfoundlandFall"
"285","2006-2020",13,45,61,2013,0.802631578947368,"DFO_NewfoundlandFall"
"286","2006-2020",13,85,60,2013,0.789473684210526,"DFO_NewfoundlandFall"
"287","2021-2040",1,45,54,2030.5,0.710526315789474,"DFO_NewfoundlandFall"
"288","2021-2040",1,85,49,2030.5,0.644736842105263,"DFO_NewfoundlandFall"
"289","2021-2040",2,45,58,2030.5,0.763157894736842,"DFO_NewfoundlandFall"
"290","2021-2040",2,85,59,2030.5,0.776315789473684,"DFO_NewfoundlandFall"
"291","2021-2040",3,45,49,2030.5,0.644736842105263,"DFO_NewfoundlandFall"
"292","2021-2040",3,85,49,2030.5,0.644736842105263,"DFO_NewfoundlandFall"
"293","2021-2040",4,45,63,2030.5,0.828947368421053,"DFO_NewfoundlandFall"
"294","2021-2040",4,85,62,2030.5,0.815789473684211,"DFO_NewfoundlandFall"
"295","2021-2040",5,45,54,2030.5,0.710526315789474,"DFO_NewfoundlandFall"
"296","2021-2040",5,85,53,2030.5,0.697368421052632,"DFO_NewfoundlandFall"
