"lon","lat","depth","rugosity"
270.8125,28.8125,-176,7.75
270.8125,28.9375,-37,6.125
270.9375,28.8125,-264,14.875
270.9375,28.9375,-87,5.5
271.0625,28.8125,-480,18.5
271.0625,28.9375,-174,14.625
271.1875,28.8125,-731,21.875
271.1875,28.9375,-311,6.5
279.0625,28.8125,15,2
279.0625,28.9375,16,2.5
279.1875,28.8125,5,3.25
279.1875,28.9375,-15,4.125
279.3125,28.8125,-17,0.625
279.3125,28.9375,-19,1
279.4375,28.8125,-19,0.25
279.4375,28.9375,-19,0.75
279.8125,28.8125,-49,0.875
279.8125,28.9375,-53,1.625
279.9375,28.8125,-105,9.375
279.9375,28.9375,-142,9.5
280.0625,28.8125,-292,10.625
280.0625,28.9375,-348,19.875
280.1875,28.8125,-489,13.875
280.1875,28.9375,-588,15.125
264.8125,29.0625,-2,0.5
264.8125,29.1875,3,1
264.9375,29.0625,-12,0.375
264.9375,29.1875,-2,0.375
265.0625,29.0625,-13,0.875
265.0625,29.1875,-5,2.375
265.1875,29.0625,-17,0.125
265.1875,29.1875,-12,1.375
265.3125,29.0625,-18,0
265.3125,29.1875,-16,1.125
265.4375,29.0625,-15,0
265.4375,29.1875,-16,0.375
265.5625,29.0625,-17,0.375
265.5625,29.1875,-15,0.375
265.6875,29.0625,-13,0.5
265.6875,29.1875,-15,1.125
265.8125,29.0625,-18,0.75
265.8125,29.1875,-15,2.875
265.9375,29.0625,-16,0
265.9375,29.1875,-16,0.625
266.0625,29.0625,-19,0.125
266.0625,29.1875,-16,0.5
266.1875,29.0625,-18,0.375
266.1875,29.1875,-16,0.75
266.3125,29.0625,-21,0.375
266.3125,29.1875,-17,1.25
266.4375,29.0625,-21,0.5
266.4375,29.1875,-17,0.75
266.5625,29.0625,-30,7.875
266.5625,29.1875,-17,0.5
266.6875,29.0625,-22,0
266.6875,29.1875,-18,0.625
266.8125,29.0625,-22,0.25
266.8125,29.1875,-18,0
266.9375,29.0625,-23,0.5
266.9375,29.1875,-18,0.25
267.0625,29.0625,-24,0.625
267.0625,29.1875,-19,0.625
267.1875,29.0625,-23,0.375
267.1875,29.1875,-19,0.25
267.3125,29.0625,-23,0.25
267.3125,29.1875,-21,1.5
267.4375,29.0625,-22,0.625
267.4375,29.1875,-19,0.375
267.5625,29.0625,-21,0.625
267.5625,29.1875,-15,0.375
267.6875,29.0625,-20,0.125
267.6875,29.1875,-6,1.75
267.8125,29.0625,-17,0.375
267.8125,29.1875,-3,0.625
267.9375,29.0625,-16,0.625
267.9375,29.1875,-7,0.625
268.0625,29.0625,-13,0.625
268.0625,29.1875,-6,0.125
268.1875,29.0625,-10,0.5
268.1875,29.1875,-6,0.75
268.3125,29.0625,-6,0.75
268.3125,29.1875,-6,0.25
268.4375,29.0625,-7,0.125
268.4375,29.1875,-6,0.375
268.5625,29.0625,-7,0.875
268.5625,29.1875,-5,0.375
268.6875,29.0625,-5,0.5
268.6875,29.1875,-4,0.125
268.8125,29.0625,-3,0.125
268.8125,29.1875,-2,0.375
268.9375,29.0625,-4,0.375
268.9375,29.1875,1,2.5
269.0625,29.0625,-2,0
269.0625,29.1875,-5,2.25
269.1875,29.0625,-2,0.375
269.1875,29.1875,-2,0
269.3125,29.0625,-2,0
269.3125,29.1875,-2,0.125
269.4375,29.0625,-2,0.5
269.4375,29.1875,-2,0
269.5625,29.0625,-2,0
